customerId|firstName|lastName|email|address|city|state|postalCode|countryCode|phone|createdTime
10000000-0000-0000-0000-000000000014|Julie|Bailey|jules47@aol.com|102 Bellevue Blvd|Baltimore|MD|21201|US|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000015|Nancy|Nicety|nnicety@sbcglobal.net|115 Naples Street|Nunapitchuk|AL|99641|US|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000016|Osirus|O'Sirus|osirus@osirusplumbing.com|116 Ocean Place|Oklahoma City|OK|73101|US|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000017|Paul|Pierce|paul.pierce@comcast.net|117 Pelican Place|Philadelphia|PA|19092|US|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000018|Quentin|Quickening|qquickening@empirepublishing.com|118 Quisenberry Avenue|Queens|NY|11011|US|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000019|Ruth|Regalo|ruth.regalo48@aol.com|119 Reginald Road|Roswell|NM|88201|US|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000020|Sally|Struthers|another.sally84@yahoo.com|120 Sap Street|Shreveport|LA|71104|US|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000021|Thomas|Timothy|binaryboy12@gmail.com|121 Tonka Trail|Tyler|TX|75799|US|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000022|Ulysses|Unilever|ulysses128@gmail.com|122 Under Court|Unalakleet|AK|99684|US|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000023|Vera|Verily|dancer.vera@yahoo.com|123 Verde Drive|Vero Beach|FL|32960|US|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000024|Xavier|Xanders|xavier.xanders@gmail.com|124 Xanadu Boulevard|Xenia|OH|45385|US|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000025|Wanda|Wichita|help.me.wanda@yahoo.com|125 Wiggins Way|Wright|WY|82732|US|100-000-0014|2017-01-01T00:00:00.00Z
10000000-0000-0000-0000-000000000026|Yolanda|Yucutan|yonkers.yolanda@aol.com|125 Yeti Circle|Yonkers|NY|10701|US|100-000-0014|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000027|Zach|Zelanko|zzelanko@zzyzx.net|1284 Zzyzx Road|Zzyzx|CA|92309|US|442-425-8528|2017-07-01T00:00:00.00Z
10000000-0000-0000-0000-000000000028|Andrew|Adelman|atlanta.andrew@yahoo.com|1265 Anchor Terrace SW|Atlanta|GA|30311|US|678-412-9880|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000029|Bob|Briody|oitsubob@gmail.com|739 Baylor Ave|Bonita|CA|91902|US|619-212-5946|2017-03-12T00:00:00.00Z
10000000-0000-0000-0000-000000000030|Carly|Cotell|ccotell@hp.com|4619 Crimson Cir N|Colorado Springs|CO|80917|US|719-585-6201|2017-06-23T00:00:00.00Z
10000000-0000-0000-0000-000000000031|Peter|Laramore|peter.laramore@warnerbros.com|1817 S Barrington Ave|Los Angeles|CA|90025|US|310-420-1642|2017-02-02T00:00:00.00Z
10000000-0000-0000-0000-000000000032|Phil|Hargrave|phil@familyhargrave.org|3440 Topping Rd|Madison|WI|53705|US|608-940-2256|2017-02-12T00:00:00.00Z
10000000-0000-0000-0000-000000000033|Joe|Banks|volcanojoe@gmail.com|650 Del Prado Drive|Boulder City|NV|89005|702-294-2722|2017-02-22T00:00:00.00Z
10000000-0000-0000-0000-000000000034|Joe|Banks|joe.plus.patricia@stanley.com|650 Del Prado Drive|Boulder City|NV|89005|702-293-3843|2017-03-04T00:00:00.00Z
